中国共产党第十九届中央纪律检查委员会第四次全体会议公报	中共十九届四中全会纪律检查工作报告	1
2020/1/16 9:04	2020/1/16 9:04	1
新华网	新华社	1
新华社北京1月15日电	新华社北京1月15日电	1
中国共产党第十九届中央纪律检查委员会第四次全体会议公报	中共十九届四中全会纪律检查工作报告	1
（2020年1月15日中国共产党第十九届中央纪律检查委员会第四次全体会议通过）	（2020年1月15日第十九届中央纪律检查委员会第四次全体会议通过）	1
中国共产党第十九届中央纪律检查委员会第四次全体会议，	党的十九届四中全会，纪律检查	1
于2020年1月13日至15日在北京举行。	于2020年1月13日至15日在北京举行。	1
出席这次全会的有中央纪委委员133人，列席246人。	出席会议的有中央纪律委员会133名委员和246人。	1
中共中央总书记、国家主席、中央军委主席习近平出席全会并发表重要讲话。	中共中央总书记、国家元首、中央军事委员会主席习近平出席了全会并作了重要讲话。	1
李克强、栗战书、汪洋、王沪宁、赵乐际、韩正等党和国家领导人出席会议。	李克强、李占书、王洋、王和宁、赵乐基、韩正等党和国家领导人出席了会议。	1
全会由中央纪律检查委员会常务委员会主持。	全会由中央纪律检查委员会常务委员会主持。	1
全会以习近平新时代中国特色社会主义思想为指导，	新时期以习近平为指导的中国特色社会主义思想	1
深入贯彻党的十九大和十九届二中、三中、四中全会精神，	贯彻党的十九大精神和党中央第二、三、四次全体会议精神	1
回顾2019年纪检监察工作，部署2020年任务，	回顾在2019年进行的纪律和监督检查以及在2020年部署该特派团，	1
审议通过了赵乐际同志代表中央纪委常委会所作的《坚持和完善党和国家监督体系为全面建成小康社会提供坚强保障》工作报告。	赵乐基同志代表中央纪律检查委员会常务委员会就“支持和完善党和国家的监督体系，为全面建设小康社会提供有力保障”的工作报告	1
全会认真学习、深刻领会习近平总书记重要讲话。	全体会议认真研究，深刻理解习近平秘书长的重要讲话。	1
一致认为，讲话站在实现两个一百年奋斗目标的历史交汇点上，	他认为，演讲站在实现百年奋斗目标的历史交汇点上，	1
深刻总结新时代全面从严治党的历史性成就，	深刻总结新时期党的严格执政的历史成就	1
深刻阐释我们党实现自我革命的成功道路、有效制度，	阐述了我们党实现自我革命的成功途径和有效制度	1
深刻回答管党治党必须坚持和巩固什么、完善和发展什么的重大问题，	回答关于坚持、巩固、改进和发展党的执政能力的重大问题	1
对以全面从严治党新成效推进国家治理体系和治理能力现代化作出战略部署。	加强国家管理体制和现代化管理能力建设，全面实现党的执政新成果。	1
讲话高屋建瓴、统揽全局、思想深邃、内涵丰富，	战略定位演讲，把握大局，深思熟虑，内容丰富；	1
充分彰显了以习近平同志为核心的党中央高瞻远瞩的战略视野、居安思危的政治清醒、兴党强国的使命担当，	这体现了以习近平同志为核心的战略远见、和平时期的政治觉悟和振兴党和国家的伟大使命。	1
对不断深化党的自我革命、持续推动全面从严治党向纵深发展具有重大指导意义。	为了不断深化党的主体性革命，促进党的全面发展，从严格管理走向深入。	1
习近平总书记对纪检监察干部队伍寄予殷切期望，	秘书长习近平对纪检监察干部寄予厚望。	1
提出明确要求。要深入学习贯彻习近平总书记重要讲话精神，	提出明确的要求。我们必须学习和贯彻习近平秘书长重要讲话的精神，	1
把思想和行动统一到党中央决策部署上来，把严的主基调长期坚持下去，	坚持党的中央决策思想和工作的统一，长期保持严谨作风	1
砥砺初心、勇担使命，以高度的政治自觉把全会部署的任务落到实处。	锐意进取，勇于承担使命，以高度的政治觉悟，在全体会议上部署了执行使命的队伍。	1
全会指出，2019年，以习近平同志为核心的党中央立足世界百年未有之大变局，	全会指出，2019年，以习近平同志为核心的中国共产党中央根据上个世纪世界上没有发生的重大变化	1
统揽中华民族伟大复兴战略全局，加强战略谋划，	把握大局，推进中华民族伟大复兴战略，战略规划	1
保持战略定力，坚持稳中求进工作总基调，统筹推进五位一体总体布局，	保持战略稳定，坚持统筹兼顾，稳步推进，推进五个统筹。	1
协调推进四个全面战略布局，成功应对国内外风险挑战明显上升的复杂局面，	协调推进四个统筹战略规划，成功应对国内外风险和挑战急剧增加的复杂形势	1
推动党和国家各项事业取得新的重大成就。在党中央坚强领导下，	推动党和国家各项事业取得新的重大成就。在党中央的坚强领导下，	1
中央纪委国家监委和地方各级纪委监委忠实履行党章和宪法赋予的职责，	中央纪律监督委员会、全国纪律委员会和地方各级纪律委员会应当忠实履行党章、宪法赋予的职责。	1
扎实开展不忘初心、牢记使命主题教育，一以贯之学习贯彻习近平新时代中国特色社会主义思想，	首先要坚定不移地进行难忘的教育，牢记教育的主题和任务，不断学习和贯彻新时期中国特色社会主义思想	1
一以贯之督促党员、干部自觉做到两个维护，	不断督促党员干部自觉地坚持两个代表，	1
一以贯之贯彻落实全面从严治党方针和要求，	坚持严格执行党的管理方针和要求	1
坚持稳中求进、实事求是、依规依纪依法，纪检监察工作坚定稳妥、扎实有效，	坚持稳步推进，实事求是，依法遵守规章制度.	1
在高质量发展上取得新的成绩。强化监督职责，	在高质量发展中取得新成绩。加强监督职责	1
突出政治监督，围绕党的路线方针政策和党中央重大决策部署落实情况加强监督检查，	强调政治监督，加强对中国共产党中央制定的方针政策执行情况和重大决策的监督检查，	1
坚决维护党中央权威和集中统一领导。深化拓展群众身边腐败和作风问题整治，	坚决维护党中央的权威，集中统一领导。深化和扩大群众反腐倡廉工作	1
持续严惩扶贫和民生领域腐败、涉黑涉恶腐败及保护伞。	继续从严惩治扶贫，民生等领域的腐败，打击涉及腐败的犯罪活动和保护伞.	1
持之以恒抓好中央八项规定精神落实，集中整治形式主义、官僚主义。	坚持执行中央的八项规定，着力整顿形式主义和官僚主义。	1
深化政治巡视和巡视整改，完善巡视巡察工作格局。	深化政治期刊改革，改进工作方式。	1
有效运用四种形态，严格执纪执法、精准有力问责。	有效运用四种形式严格纪律执法，准确有效追究责任。	1
统筹推进纪检监察体制改革，不断提高规范化法治化水平。	推进纪检监察体制改革，进一步提高法制规范化水平.	1
坚持不敢腐、不能腐、不想腐一体推进，突出重点削减存量，	不敢腐败，不能腐败，不想腐败，向前推进，集中精力减少库存；	1
零容忍遏制增量，深化以案促改、标本兼治，	零容忍，加强遏制，深化改革，标本兼治	1
反腐败斗争压倒性胜利巩固发展。全面加强纪检监察机关党的建设，	反腐倡廉建设取得压倒性胜利。加强党的纪检监察机关建设	1
对执纪违纪、执法违法者零容忍，建设忠诚干净担当纪检监察铁军。	纪律、执法、零容忍、廉洁、廉洁、廉洁，对铁路部队进行纪律检查和监督。	1
全会总结了过去一年工作中形成的认识和体会，	全体会议总结了过去一年中取得的知识和经验，	1
在肯定成绩的同时，实事求是分析了纪检监察工作和干部队伍建设存在的主要问题，	同时，分析了纪检监察干部队伍建设中存在的主要问题。	1
要求高度重视、采取有效措施加以解决。	我们必须重视采取有效措施来解决这个问题。	1
全会提出，2020年是全面建成小康社会和十三五规划收官之年，	全会提出，到2020年是全面建设小康社会的“十三五”计划年底，	1
做好纪检监察工作意义重大。总体要求是：以习近平新时代中国特色社会主义思想为指导，	做好纪检监察工作十分重要。总的要求是：以习近平的新时期中国特色社会主义思想为指导	1
全面贯彻党的十九大和十九届二中、三中、四中全会精神，	贯彻党的十九大精神和党中央第二、三、四次全体会议精神	1
增强四个意识、坚定四个自信、做到两个维护，	增强意识，增强自信心，坚持两个	1
坚持稳中求进工作总基调，协助党委深化全面从严治党，	坚定不移地保持工作的全局性和先进性，帮助党的委员会全面、深入、准确地深化党的管理	1
坚持和完善党和国家监督体系，强化对权力运行的制约和监督，	坚持和完善党的国家监督制度，加强对权力运行的制约和监督	1
一体推进不敢腐、不能腐、不想腐，在坚持和完善中国特色社会主义制度、推进国家治理体系和治理能力现代化中充分发挥监督保障执行、促进完善发展作用，	坚持和完善有中国特色的社会主义制度，实现国家政权现代化和执政能力现代化，努力保证监督的实施，促进监督的健康发展。	1
建设高素质专业化纪检监察干部队伍，推动新时代纪检监察工作高质量发展，	建设高素质的专业纪检监察干部，促进新时期纪检监察事业的发展	1
为决胜全面建成小康社会、决战脱贫攻坚提供坚强保障。	为全面建设小康社会的胜利，贫困的决战提供了有力的保障。	1
全会要求，各级纪检监察机关要认真贯彻落实党的十九届四中全会精神，	全会要求各级纪检监察机关认真贯彻党的十九届四中全会精神	1
自觉把各项工作放到坚持完善中国特色社会主义制度和国家治理体系的大局中来思考、谋划、推进，	铭记一切努力完善中国特色社会主义制度和国家行政管理体制的总体思路和总体规划，	1
牢牢抓住监督这个基本职责、第一职责，精准监督、创新监督，	牢牢把握监理这一基本职责，第一要务，准确监理，监理创新	1
深化纪检监察体制机制改革创新，以高质量党内监督、国家监察促进国家制度和治理体系提质增效，	深化纪律检查制度改革创新，通过党内监督和国家监督，提高国家体制和管理体制的质量和效率。	1
充分彰显中国共产党领导和中国特色社会主义制度的优越性。	要充分发挥中国共产党领导和中国特色社会主义制度的优越性。	1
第一，坚持以初心使命作为政治本色和前进动力，	一是坚持以第一要务为政治核心和前进动力；	1
不断增强两个维护的自觉性坚定性。持之以恒学懂弄通做实习近平新时代中国特色社会主义思想，	不断提高维修意识和维修决心。坚持学习、理解和实践新时期中国特色社会主义思想	1
不断巩固深化主题教育成果。新时代强化政治监督的根本任务就是两个维护，	继续巩固和深化专题教育成果。新时期加强政治监督的根本任务是坚持两个	1
要加强对坚持中国特色社会主义制度、落实党中央重大决策部署和习近平总书记重要指示批示精神、落实全面从严治党责任情况的监督检查，	我们要加强对坚持中国特色社会主义制度的监督检查，贯彻党中央的重大决策，贯彻党的十一届三中全会重要指示精神严格履行党的职责	1
贯彻落实党的十九届四中全会精神情况的监督检查，	监督检查贯彻党的十六届四中全会精神	1
严明政治纪律和政治规矩，确保党中央政令畅通，	严格的政治纪律和政治规则，保证中央政令的顺利执行；	1
确保权力在正确轨道上运行。	确保电源工作在正确的轨道上。	1
第二，全力保障脱贫攻坚决战决胜，集中整治群众反映强烈的突出问题。	第二，要尽一切努力，保证消除贫困这一决定性斗争的最终胜利，集中力量解决群众反映强烈的突出问题。	1
强化对脱贫工作绩效、脱贫政策连续性稳定性，	加强工作业绩的稳定性和扶贫政策的连续性	1
以及脱贫摘帽后不摘责任、不摘政策、不摘帮扶、不摘监管情况的监督检查，	对脱贫后的任何责任、政策、援助、监督情况进行监督检查；	1
对搞数字脱贫、虚假脱贫的严肃问责，对贪污侵占、吃拿卡要、优亲厚友的从严查处。	要坚决查处挪用公款、吃饭、领卡、交密友等行为。	1
精准查处涉黑涉恶腐败及保护伞案件。深入开展民生领域损害群众利益问题集中整治。	认真调查处理降落伞腐败案件。深化重点解决民生领域损害人民利益的问题.	1
第三，持续深化纪检监察体制改革，推动健全党和国家监督体系。	三是进一步深化纪检监察体制改革，加强和完善党和国家的监督制度。	1
协助党委健全全面从严治党制度，完善党内监督体系，	协助党委全面、准确地完善党的管理体制，完善党内监督制度	1
推动党委（党组）主体责任、书记第一责任人责任和纪委监委监督责任贯通联动、一体落实。	加强党委（党）的主要职责、秘书的主要职责、负责人的主要职责和对纪律委员会的监督，通过职责的衔接、责任的落实等。	1
加强上级纪委监委对下级纪委监委的领导，完善纪律监督、监察监督、派驻监督、巡视监督统筹衔接制度，	加强上级监察委员会对下级监察委员会的领导，完善纪检监察制度，监督部署，监督检查	1
强化纪委监委监督的协助引导推动功能。自上而下、依法有序推进监委向本级人大常委会报告专项工作。	加强对纪委的监督，发挥监督、协助、指导、促进作用。为加强监督，委员会应当依法向本级人民代表大会常务委员会报告工作。	1
修订《中国共产党党员权利保障条例》，制定监察法实施条例，	修改《中国共产党党员权利保障条例》，制定《监督法实施条例》	1
推动研究制定监察官法。	加强对《监察员法》的研究和制定。	1
第四，发挥纪委监委专责监督作用，加强对权力运行的监督。	四是发挥纪委监督的特殊作用，加强对权力运行的监督。	1
强化上级纪委对下级党组织的监督，紧盯关键少数、关键岗位，	加强对上下级党组织纪律委员会的监督	1
围绕权力运行各个环节，严格日常监督，实事求是运用四种形态，	围绕权力运行的方方面面，严格日常监督，实事求是地运用四种形式	1
完善发现问题、纠正偏差、精准问责有效机制。	改进有效的发现问题、纠正错误、追究责任的机制。	1
用好纪检监察建议有力武器。	运用纪检监察建议作为有力武器。	1
第五，巩固拓展作风建设成效，推动化风成俗、成为习惯。	五是加强和扩大作风建设，加强风俗习惯建设。	1
深入落实中央八项规定精神，从领导机关和领导干部抓起改起，	要严格贯彻党中央的八项规定精神，从领导机关和领导干部改革入手	1
深化治理贯彻党中央决策部署只表态不落实、维护群众利益不担当不作为、困扰基层的形式主义官僚主义等问题。	深化管理，贯彻执行中共中央的决定，只公布不执行，保护群众利益，不承担无所作为的责任，扰乱基层官僚主义、形式主义等是的	1
严查享乐、奢靡问题，推动完善制度规定，加大通报曝光力度，	认真调查享乐奢侈问题，加强制度建设，加大宣传力度；	1
充分发挥群众监督和舆论监督作用。	充分发挥群众舆论监督作用。	1
第六，完善巡视巡察上下联动工作格局，促进巡视巡察与其他各类监督贯通融合。	六是优化PACS自上而下联动的工作模式，加强PACS与其他监管类型的整合。	1
深化政治巡视，建立巡视巡察上下联动机制，	深化政治期刊建设建立期刊联动机制	1
